,max_malig,max_spiculation,max_lobulation,max_diameter,xsd_malig,xsd_spiculation,xmax_lobulation,xsd_diameter,labels
0,0.4961208701133728,0.37190043926239014,0.3585505783557892,0.29320770502090454,0.0995149239897728,0.08397025614976883,0.3585505783557892,0.06268151104450226,0
1,0.5129525661468506,0.34309783577919006,0.334394633769989,0.3412436544895172,0.0907495841383934,0.07832945138216019,0.334394633769989,0.05896443873643875,1
2,0.4471758306026459,0.37613070011138916,0.3332585394382477,0.2763866186141968,0.020048702135682106,0.08368085324764252,0.3332585394382477,0.0494798943400383,0
3,0.44294995069503784,0.37456563115119934,0.36623960733413696,0.283357709646225,0.0840897262096405,0.09596157819032669,0.36623960733413696,0.05329998582601547,0
4,0.43145522475242615,0.21225927770137787,0.308027058839798,0.283698707818985,0.08334136009216309,0.042448319494724274,0.308027058839798,0.05276009812951088,0
5,0.5073539018630981,0.3485681712627411,0.3613033592700958,0.2968776524066925,0.11329040676355362,0.06229519098997116,0.3613033592700958,0.05135835334658623,1
6,0.5142614245414734,0.3125799000263214,0.34279489517211914,0.29501405358314514,0.12785759568214417,0.06834132224321365,0.34279489517211914,0.059625107795000076,0
7,0.4818980395793915,0.27193817496299744,0.34118205308914185,0.32041817903518677,0.13049456477165222,0.0550115592777729,0.34118205308914185,0.07284528017044067,1
8,0.5310978889465332,0.3676474392414093,0.31848251819610596,0.33958885073661804,0.13587528467178345,0.09681080281734467,0.31848251819610596,0.06337834894657135,1
9,0.5226168632507324,0.3706732392311096,0.3753708600997925,0.3183992803096771,0.11295107752084732,0.0767919197678566,0.3753708600997925,0.05757467821240425,1
10,0.4543055593967438,0.3186590075492859,0.2463696002960205,0.27296894788742065,0.09732531756162643,0.07494495809078217,0.2463696002960205,0.056850168853998184,0
11,0.4971942603588104,0.2247869074344635,0.3354032635688782,0.31853193044662476,0.13051223754882812,0.03858141601085663,0.3354032635688782,0.07452627271413803,0
12,0.20315289497375488,0.15902385115623474,0.2526589334011078,0.15575429797172546,0.023004651069641113,0.017470737919211388,0.2526589334011078,0.014159047044813633,0
13,0.5047338008880615,0.3544871211051941,0.31048208475112915,0.3258454203605652,0.12154629081487656,0.0884336307644844,0.31048208475112915,0.05515759065747261,1
14,0.4730166792869568,0.31015047430992126,0.1841866821050644,0.23460865020751953,0.13366355001926422,0.07806294411420822,0.1841866821050644,0.03789186105132103,0
15,0.5287652015686035,0.34190648794174194,0.35816505551338196,0.2879217863082886,0.09467865526676178,0.06093859672546387,0.35816505551338196,0.049781158566474915,1
