,max_malig,max_spiculation,max_lobulation,max_diameter,xsd_malig,xsd_spiculation,xmax_lobulation,xsd_diameter,loc_from_malig_x,loc_from_malig_y,loc_from_malig_z,std_locs_x,std_locs_y,std_locs_z
d777a77cc7a2ec2f1eed68799cc9075c.npz,0.6975025534629822,0.3359681963920593,0.38532447814941406,0.3391558825969696,0.14889396727085114,0.08925993740558624,0.38532447814941406,0.08555068075656891,0.7535714507102966,0.5285714268684387,0.4340277910232544,0.24425804615020752,0.16305619478225708,0.24265538156032562
1631637f08f27347e8f23d7a0e18c100.npz,0.6663734912872314,0.3457176983356476,0.39151492714881897,0.3596789538860321,0.14837028086185455,0.08218109607696533,0.39151492714881897,0.07876130938529968,0.08888889104127884,0.4166666567325592,0.3044871687889099,0.24373626708984375,0.15955953299999237,0.21600818634033203
9065f2b133129c5747d42db18a424749.npz,0.7012590765953064,0.34777387976646423,0.3943796157836914,0.36056527495384216,0.1598774790763855,0.08485791087150574,0.3943796157836914,0.0798332467675209,0.7060605883598328,0.41818180680274963,0.7993630766868591,0.23171068727970123,0.15561407804489136,0.2179979681968689
e3a9a6f8d21c6c459728066bcf18c615.npz,0.6903406381607056,0.3434300124645233,0.400078684091568,0.3543083965778351,0.14754799008369446,0.08810588717460632,0.400078684091568,0.08557604253292084,0.31578946113586426,0.1122807040810585,0.5555555820465088,0.23329702019691467,0.18318356573581696,0.2078430950641632
f39a1e54d79731e4417aa8159d19b7d4.npz,0.7267640233039856,0.34173911809921265,0.3967479169368744,0.35620421171188354,0.14742176234722137,0.08899471908807755,0.3967479169368744,0.08676166087388992,0.8852941393852234,0.5823529362678528,0.3735632300376892,0.24918366968631744,0.1833418756723404,0.21458590030670166
8987df2216ae2ab1a907d52bc9dc540d.npz,0.6913010478019714,0.34219205379486084,0.3950795829296112,0.3584100902080536,0.16176646947860718,0.08725053817033768,0.3950795829296112,0.08310166746377945,0.5742856860160828,0.5742856860160828,0.48630136251449585,0.219888836145401,0.18432077765464783,0.20070132613182068
7c2b72f9e0f5649c22902292febdc89f.npz,0.6683194637298584,0.33882585167884827,0.384684294462204,0.33750662207603455,0.15494166314601898,0.09177355468273163,0.384684294462204,0.08784478902816772,0.22142857313156128,0.3857142925262451,0.6134752035140991,0.21283283829689026,0.15543287992477417,0.22031904757022858
e60d99ea9648e1ce859eb0b386365e26.npz,0.6658213138580322,0.3368494510650635,0.3867587149143219,0.3515508472919464,0.15745341777801514,0.08967044204473495,0.3867587149143219,0.08503076434135437,0.2740113139152527,0.32485875487327576,0.7355931997299194,0.2346077710390091,0.17747361958026886,0.22588801383972168
8a2de07f6e9dbb8c6e4bfad7e83b3f0a.npz,0.6538204550743103,0.3437001407146454,0.388062059879303,0.3505273461341858,0.14645324647426605,0.08625572919845581,0.388062059879303,0.0829155445098877,0.2732240557670593,0.5218579173088074,0.5194805264472961,0.23863616585731506,0.17291855812072754,0.22677934169769287
eaeebb7a63edc8a329a7c5fbc583a507.npz,0.597271203994751,0.34690675139427185,0.3945672810077667,0.3600507080554962,0.1421399563550949,0.08513259887695312,0.3945672810077667,0.08238770812749863,0.08988764137029648,0.3426966369152069,0.2818181812763214,0.2365207076072693,0.16506750881671906,0.20609372854232788
