,max_malig,max_spiculation,max_lobulation,max_diameter,xsd_malig,xsd_spiculation,xmax_lobulation,xsd_diameter,loc_from_malig_x,loc_from_malig_y,loc_from_malig_z,std_locs_x,std_locs_y,std_locs_z
d777a77cc7a2ec2f1eed68799cc9075c.npz,0.5218386650085449,0.3732473850250244,0.3729138672351837,0.3491598069667816,0.10365890711545944,0.07697460055351257,0.3729138672351837,0.06159131973981857,0.5392857193946838,0.5285714268684387,0.4340277910232544,0.24425804615020752,0.16305619478225708,0.24265538156032562
1631637f08f27347e8f23d7a0e18c100.npz,0.5312575101852417,0.37668025493621826,0.3766448497772217,0.3499271273612976,0.1225009560585022,0.0795922502875328,0.3766448497772217,0.06219351291656494,0.08888889104127884,0.17222222685813904,0.20512820780277252,0.24373626708984375,0.15955953299999237,0.21600818634033203
9065f2b133129c5747d42db18a424749.npz,0.5284401178359985,0.3754146099090576,0.3767389953136444,0.3518809378147125,0.11486475169658661,0.07748253643512726,0.3767389953136444,0.05915547534823418,0.30000001192092896,0.3393939435482025,0.7006369233131409,0.23171068727970123,0.15561407804489136,0.2179979681968689
e3a9a6f8d21c6c459728066bcf18c615.npz,0.5273935198783875,0.3795790672302246,0.37645015120506287,0.3547965884208679,0.09623906761407852,0.07858297973871231,0.37645015120506287,0.06285255402326584,0.21403509378433228,0.38596490025520325,0.46296295523643494,0.23329702019691467,0.18318356573581696,0.2078430950641632
f39a1e54d79731e4417aa8159d19b7d4.npz,0.5337262749671936,0.37600401043891907,0.3779951333999634,0.3523794412612915,0.11037642508745193,0.07767867296934128,0.3779951333999634,0.06063171476125717,0.6882352828979492,0.0941176488995552,0.09195402264595032,0.24918366968631744,0.1833418756723404,0.21458590030670166
8987df2216ae2ab1a907d52bc9dc540d.npz,0.5266948938369751,0.3821404278278351,0.3782110810279846,0.3535555601119995,0.12733006477355957,0.08632653206586838,0.3782110810279846,0.06305362284183502,0.2857142984867096,0.41428571939468384,0.7705479264259338,0.219888836145401,0.18432077765464783,0.20070132613182068
7c2b72f9e0f5649c22902292febdc89f.npz,0.5283243656158447,0.3809129595756531,0.36357417702674866,0.3476792275905609,0.125991091132164,0.08238287270069122,0.36357417702674866,0.06446396559476852,0.3285714387893677,0.2964285612106323,0.41489362716674805,0.21283283829689026,0.15543287992477417,0.22031904757022858
e60d99ea9648e1ce859eb0b386365e26.npz,0.533799409866333,0.38029658794403076,0.37788304686546326,0.3521670699119568,0.12215235084295273,0.08152956515550613,0.37788304686546326,0.06538090109825134,0.7344632744789124,0.6355932354927063,0.5254237055778503,0.2346077710390091,0.17747361958026886,0.22588801383972168
8a2de07f6e9dbb8c6e4bfad7e83b3f0a.npz,0.5302868485450745,0.3760925531387329,0.3767174780368805,0.3473644256591797,0.12126480042934418,0.07733531296253204,0.3767174780368805,0.06374996900558472,0.3688524663448334,0.2595628499984741,0.41558441519737244,0.23863616585731506,0.17291855812072754,0.22677934169769287
eaeebb7a63edc8a329a7c5fbc583a507.npz,0.5212311148643494,0.37912517786026,0.376044362783432,0.3516216278076172,0.12071040272712708,0.07745269685983658,0.376044362783432,0.06154707446694374,0.2752808928489685,0.3426966369152069,0.46666666865348816,0.2365207076072693,0.16506750881671906,0.20609372854232788
